EMPLOYEEID,NAME.FIRST,NAME.MIDDLE,NAME.LAST,NAME.INITIALS,SEX,LANGUAGE,PHONENUMBER,EMAILADDRESS,LOGINNAME,ADDRESSES.ADDRESSID,VALIDITY.STARTDATE,VALIDITY.ENDDATE,CURRENCY,SALARYAMOUNT,ACCOUNTNUMBER,BANKID,BANKNAME,EMPLOYEEPICURL
0000000001,Sally,,Spring,,F,E,+1 224 374 524,sally.spring@itelo.info,SPRINGS,1000000002,2000-01-01,9999-12-31,USD,55549,111222333,0510000655,My Bank of Antioch,/sap/hana/democontent/epm/data/images/female_8_SpringS.jpg
0000000002,Susan,,Summer,,F,E,,susan.summer@itelo.info,SUMMERS,1000000003,2000-01-01,9999-12-31,USD,76239,9988776655,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/female_7_SummerS.jpg
0000000003,Franco,,Fall,,M,E,,franco.fall@itelo.info,FALLF,1000000004,2000-01-01,9999-12-31,USD,85962,8877665544,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/male_2_FallF.jpg
0000000004,Walter,,Winter,,M,E,,walter.winter@itelo.info,WINTERW,1000000005,2000-01-01,9999-12-31,USD,68597,7766554433,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/male_1_WinterW.jpg
0000000005,Maria,,Hicks,,F,E,,maria.hicks@itelo.info,HICKSM,1000000006,2000-01-01,9999-12-31,USD,49876,1122334455,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/female_10_HicksM.jpg
0000000006,John,,Dash,,M,E,,john.dash@itelo.info,DASHJ,1000000007,2000-01-01,9999-12-31,USD,72691,5544332211,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/male_11_DashJ.jpg
0000000007,Viola,Sarah,Gains,,F,E,+1 224 374 522,viola.gains@itelo.info,GAINSV,1000000008,2000-01-01,9999-12-31,USD,110962,222333444,0510000655,My Bank of Antioch,/sap/hana/democontent/epm/data/images/female_2_GainsV.jpg
0000000008,Randy,,Gordon,,M,E,,randy.gordon@itelo.info,GORDONR,1000000009,2000-01-01,9999-12-31,USD,81463,2233445566,0026005885,My Bank of New York,/sap/hana/democontent/epm/data/images/male_10_GordonR.jpg
0000000009,Paul,,Burke,,M,E,+1 224 374 523,paul.burke@itelo.info,BURKEP,1000000010,2000-01-01,9999-12-31,USD,100491,333444555,0510000655,My Bank of Antioch,/sap/hana/democontent/epm/data/images/male_4_BurkeP.jpg
0000000010,Michael,,Miller,,M,E,,michael.miller@itelo.info,MILLERM,1000000011,2000-01-01,9999-12-31,USD,86574,76543210,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/male_9_MillerM.jpg
0000000011,John,,Nicols,,M,E,,john.nicols@itelo.info,NICOLSJ,1000000012,2000-01-01,9999-12-31,USD,61579,87654321,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/male_7_NicolsJ.jpg
0000000012,John,,Smith,,M,E,,john.smith@itelo.info,SMITHJO,1000000013,2000-01-01,9999-12-31,USD,60350,98765432,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/male_3_SmithJo.jpg
0000000013,Joanne,,Rush,,F,E,,joanne.rush@itelo.info,RUSHJ,1000000014,2000-01-01,9999-12-31,USD,70000,345678901,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/female_1_RushJ.jpg
0000000014,Sue,,Bay,,F,E,+1 224 374 525,sue.bay@itelo.info,BAYSU,1000000015,2000-01-01,9999-12-31,USD,98631,0099887766,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/female_6_BaySu.jpg
0000000015,James,,Field,,M,E,+1 224 374 526,james.field@itelo.info,FIELDJ,1000000016,2000-01-01,9999-12-31,USD,76395,32109876,0066665555,My Bank of London,/sap/hana/democontent/epm/data/images/male_5_FieldJ.jpg
0000000016,Hermann,,Hecker,,M,E,,hermann.hecker@itelo.info,HECKERH,1000000017,2000-01-01,9999-12-31,USD,39874,123456789,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/male_16_HeckerH.jpg
0000000017,Rudolf,,Platte,,M,E,,rudolf.platte@itelo.info,PLATTER,1000000018,2000-01-01,9999-12-31,USD,45983,234567890,0099999888,Deutsches Geldinstitut,/sap/hana/democontent/epm/data/images/male_15_PlatteR.jpg
0000000018,Al,,Wallace,,M,E,,al.wallace@itelo.info,WALLACEA,1000000019,2000-01-01,9999-12-31,USD,55426,1100998877,0121000358,My Bank of San Francisco,/sap/hana/democontent/epm/data/images/male_13_WallaceA.jpg
